,product_name,old_price,discounted_price,discount
0,Oraimo 20000mAh Power Charging Bank OPB-P208DN,"₦ 20,588","₦ 9,900",52%
1,Oraimo Power-Bank OPB-P208DN 20KmAh,"₦ 20,588","₦ 9,900",52%
2,Oraimo 27000mAh Portable Power Charging Bank,"₦ 37,059","₦ 19,000",49%
3,Oraimo Power-Bank 10000mAh Ultra-Slim With Fast Charging,"₦ 15,490","₦ 7,900",49%
4,Oraimo FreePods 4 Active Noise Cancellation Easy Control APP 35.5-hr Long Playtime Noise Reduction In Calls True Wireless Stereo Earbuds,"₦ 24,900","₦ 21,500",14%
5,Oraimo FreePods-3 2Baba Edition BT5.2 Wireless Stereo Earbuds ENC Calling Noise Cancellation,"₦ 22,636","₦ 20,000",12%
6,Oraimo SoundPro-2C 10W Portable Wireless Bluetooth Speaker,"₦ 17,686","₦ 11,000",38%
7,Oraimo Riff Smaller For Comfort True Wireless Earbuds -Black,"₦ 17,727","₦ 13,500",24%
8,Oraimo Silver Edition Smart Watch 1.69'' IPS Screen IP68 Waterproof,"₦ 32,636","₦ 16,000",51%
9,Oraimo Riff Smaller For Comfort True Wireless Earbuds - White,"₦ 18,065","₦ 13,500",25%
10,Oraimo Power Oraimo Bank OPB-P300Q 3WBlack,"₦ 23,600","₦ 16,800",29%
11,Oraimo 27000Mah Portable Power Banks Fast Charge Massive,"₦ 35,294","₦ 18,000",49%
12,Oraimo 10000 Mah Power-Bank OPB-P118D Dual Fast Charging,"₦ 13,900","₦ 7,600",45%
13,Oraimo Rock Long Playtime 2-mic ENC TWS True Wireless Earbuds,"₦ 17,500","₦ 11,900",32%
14,Oraimo FreePods 3 True Wireless Earbuds ENC Calling Noise Cancellation,"₦ 29,900","₦ 20,000",33%
15,Oraimo SoundGo 4 Ultra-portable Wireless Speaker,"₦ 9,909","₦ 7,200",27%
16,Oraimo Roll Dynamic True Wireless Earbuds Sound Noise-reducing Microphones,"₦ 22,680","₦ 13,000",43%
17,Oraimo Multi-functional Smart Trimmer With 4 Guided Combs,"₦ 14,119","₦ 9,500",33%
